Artist,Track,Album,Album_type,Stream,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Tempo_category,Duration_ms,Views,Likes,Comments,Licensed,official_video
The Chainsmokers,Something Just Like This,Memories...Do Not Open,album,2030825694.0,0.617,0.635,B,-6.769,0.0317,0.0498,0.164,0.446,103.019,Andante,247160.0,2118024518.0,10282557.0,270446.0,True,True
The Chainsmokers,Closer,Closer,single,2456205158.0,0.748,0.524,G# / Ab,-5.599,0.0338,0.414,0.111,0.661,95.01,Andante,244960.0,455914466.0,3423268.0,93021.0,True,True
The Chainsmokers,Don't Let Me Down,Don't Let Me Down,single,1649895796.0,0.532,0.869,B,-5.094,0.172,0.157,0.136,0.422,159.803,Vivace,208373.0,1918194989.0,12101095.0,284275.0,True,True
The Chainsmokers,Paris,Memories...Do Not Open,album,1038583130.0,0.653,0.658,D,-6.428,0.0304,0.0215,0.0939,0.219,99.99,Andante,221507.0,399913961.0,2106482.0,60187.0,True,True
The Chainsmokers,Takeaway,World War Joy,album,561437488.0,0.528,0.511,D# / Eb,-8.144,0.0324,0.126,0.101,0.351,100.1,Andante,209880.0,154224036.0,1854787.0,33698.0,True,True
The Chainsmokers,High,So Far So Good,album,113094720.0,0.601,0.787,C,-6.178,0.031,0.0492,0.142,0.525,134.981,Allegro,175163.0,24124785.0,321363.0,11374.0,True,True
The Chainsmokers,Call You Mine,World War Joy,album,557976087.0,0.585,0.696,E,-5.6,0.0307,0.204,0.344,0.522,104.01,Andante,217640.0,95957918.0,1113186.0,18291.0,True,True
The Chainsmokers,Roses,Roses,single,931716440.0,0.713,0.802,E,-7.055,0.0561,0.0435,0.309,0.343,100.001,Andante,226739.0,139712325.0,749391.0,14114.0,True,True
The Chainsmokers,This Feeling,Sick Boy,album,556580203.0,0.575,0.571,C# / Db,-7.906,0.0439,0.0558,0.0912,0.449,105.049,Andante,197947.0,57253999.0,585752.0,10974.0,True,True
The Chainsmokers,Who Do You Love,World War Joy,album,500386543.0,0.51,0.846,D# / Eb,-4.595,0.0461,0.0101,0.208,0.475,139.927,Allegro,226733.0,78902892.0,1039101.0,26469.0,True,True
Kygo,Higher Love,Golden Hour,album,773933173.0,0.693,0.678,G# / Ab,-7.159,0.0324,0.0151,0.101,0.404,103.952,Andante,228267.0,170230945.0,848200.0,19675.0,True,True
Kygo,Firestone,Cloud Nine,album,970303521.0,0.704,0.634,B,-7.374,0.0428,0.393,0.0952,0.411,113.927,Moderato / Allegretto,271640.0,851899312.0,3578364.0,52377.0,True,True
Kygo,Woke Up in Love,Thrill Of The Chase,album,46301533.0,0.649,0.586,D,-5.998,0.0385,0.234,0.0936,0.178,106.031,Andante,216880.0,4089798.0,83177.0,1257.0,True,True
Kygo,Dancing Feet (feat. DNCE),Thrill Of The Chase,album,126429613.0,0.746,0.78,C,-4.892,0.102,0.319,0.411,0.569,105.931,Andante,215200.0,12087280.0,118153.0,2222.0,True,True
Kygo,Stole the Show,Cloud Nine,album,835408549.0,0.64,0.635,G# / Ab,-7.565,0.226,0.271,0.319,0.475,100.034,Andante,223187.0,419595681.0,2246497.0,37800.0,False,False
Kygo,Lose Somebody,Golden Hour,album,463702643.0,0.58,0.586,C# / Db,-6.883,0.0357,0.344,0.0755,0.507,147.988,Allegro,199549.0,15496629.0,235182.0,4983.0,True,True
Kygo,What's Love Got to Do with It,What's Love Got to Do with It,single,208328272.0,0.75,0.664,G# / Ab,-5.908,0.154,0.275,0.0632,0.617,105.023,Andante,208156.0,42489156.0,362051.0,6820.0,True,True
Kygo,Born To Be Yours,Born To Be Yours,single,506258880.0,0.688,0.688,D# / Eb,-5.84,0.0357,0.3,0.0982,0.451,114.011,Moderato / Allegretto,193321.0,59180206.0,452091.0,7045.0,True,True
Kygo,Woke Up in Love - Acoustic,Woke Up in Love (Acoustic),single,2226324.0,0.441,0.391,C# / Db,-6.116,0.0353,0.87,0.133,0.3,105.533,Andante,182500.0,167958.0,6580.0,185.0,True,True
5 Seconds of Summer,Youngblood,Youngblood (Deluxe),album,1492403486.0,0.596,0.854,G,-5.114,0.463,0.0169,0.124,0.152,120.274,Moderato / Allegretto,203418.0,207608224.0,2617012.0,64887.0,True,True
5 Seconds of Summer,Teeth,13 Reasons Why (Season 3),album,502081353.0,0.756,0.448,D# / Eb,-2.993,0.0404,0.0508,0.11,0.431,139.031,Allegro,204887.0,121967027.0,2274114.0,43858.0,True,True
5 Seconds of Summer,Ghost Of You,Youngblood (Deluxe),album,282741932.0,0.458,0.561,A# / Bb,-4.819,0.0269,0.0965,0.156,0.206,149.875,Allegro,197411.0,47915546.0,360805.0,6640.0,False,False
5 Seconds of Summer,She Looks So Perfect,5 Seconds Of Summer,album,531668029.0,0.494,0.951,A,-4.237,0.132,0.000569,0.327,0.441,160.025,Vivace,202496.0,313128656.0,2922724.0,132239.0,True,True
5 Seconds of Summer,Who Do You Love,World War Joy,album,500386543.0,0.51,0.846,D# / Eb,-4.595,0.0461,0.0101,0.208,0.475,139.927,Allegro,226733.0,78902892.0,1039101.0,26469.0,True,True
5 Seconds of Summer,Me Myself & I,5SOS5,album,45226156.0,0.575,0.556,E,-5.107,0.0283,0.0303,0.0903,0.44,87.991,Andante,177879.0,11842423.0,243585.0,6853.0,True,True
5 Seconds of Summer,COMPLETE MESS,5SOS5,album,52173034.0,0.398,0.519,G,-6.926,0.0315,0.0573,0.191,0.133,81.377,Andante,206361.0,10138188.0,290319.0,12310.0,True,True
5 Seconds of Summer,Lie To Me (feat. Julia Michaels),Lie To Me (feat. Julia Michaels),single,247056386.0,0.611,0.52,C,-5.445,0.0346,0.0132,0.105,0.771,159.927,Vivace,149878.0,38412636.0,946061.0,26330.0,True,True
5 Seconds of Summer,Bad Omens,5SOS5,album,18451047.0,0.493,0.772,C# / Db,-6.315,0.051,6.45e-05,0.0925,0.412,133.973,Allegro,215734.0,2206930.0,80971.0,2034.0,True,True
5 Seconds of Summer,Easier,CALM,album,353081736.0,0.562,0.46,F,-4.173,0.259,0.476,0.107,0.623,176.055,Vivace,158099.0,64560657.0,1137741.0,31115.0,True,True
Glass Animals,Heat Waves,Dreamland (+ Bonus Levels),album,2261464473.0,0.761,0.525,B,-6.9,0.0944,0.44,0.0921,0.531,80.87,Andante,238805.0,480089002.0,7145914.0,140345.0,True,True
Glass Animals,Heat Waves - Slowed,Heat Waves (Expansion Pack),single,67684752.0,0.633,0.55,A,-9.965,0.0924,0.649,0.147,0.333,147.099,Allegro,262248.0,92043354.0,1273806.0,11550.0,False,False
Glass Animals,The Other Side Of Paradise,How To Be A Human Being,album,191572842.0,0.689,0.338,B,-7.634,0.0629,0.349,0.0649,0.568,128.012,Allegro,320654.0,54569746.0,653908.0,4273.0,True,True
Glass Animals,Gooey,ZABA,album,295935353.0,0.487,0.369,B,-13.424,0.0406,0.736,0.0925,0.106,183.114,Presto,289307.0,20513451.0,153280.0,4167.0,True,True
Glass Animals,Take A Slice,How To Be A Human Being,album,106940054.0,0.623,0.661,A,-7.0,0.1,0.0212,0.267,0.63,151.97,Allegro,229718.0,15167973.0,268717.0,2193.0,True,True
Glass Animals,Youth,How To Be A Human Being,album,152733470.0,0.648,0.718,A,-7.765,0.0298,0.129,0.112,0.785,96.017,Andante,230693.0,44789410.0,316006.0,5855.0,True,True
Glass Animals,Heat Waves (with iann dior),Dreamland (+ Bonus Levels),album,99531293.0,0.655,0.716,G# / Ab,-5.077,0.0897,0.476,0.479,0.521,80.813,Andante,175302.0,1164388.0,14282.0,356.0,False,False
Glass Animals,I Don't Wanna Talk (I Just Wanna Dance),Dreamland (+ Bonus Levels),album,66417835.0,0.703,0.624,G,-6.228,0.0364,0.0156,0.299,0.808,131.966,Allegro,195191.0,7346419.0,139025.0,3786.0,True,True
Glass Animals,Life Itself,How To Be A Human Being,album,114742103.0,0.699,0.67,C# / Db,-6.219,0.0347,0.0147,0.356,0.556,111.988,Moderato / Allegretto,281407.0,18038223.0,134840.0,2468.0,True,True
Glass Animals,Pork Soda,How To Be A Human Being,album,79383091.0,0.698,0.664,G,-7.828,0.0778,0.121,0.331,0.623,96.001,Andante,253831.0,6147967.0,111112.0,3330.0,True,True
The Lumineers,Ho Hey,The Lumineers,album,936767650.0,0.685,0.466,C,-9.074,0.0304,0.794,0.0915,0.353,79.936,Andante,163133.0,298552930.0,2215665.0,53223.0,True,True
The Lumineers,Ophelia,Cleopatra,album,924159681.0,0.664,0.573,F,-6.519,0.0277,0.613,0.0857,0.566,76.023,Adagio,160097.0,217403417.0,1646861.0,28509.0,True,True
